Time_s,IDS_nA
2.280000000000000071e+01,1.078420897029546843e+01
2.309999999999999787e+01,1.061524544199077091e+01
2.339999999999999858e+01,1.012494460639944549e+01
2.369999999999999929e+01,9.549062425686852151e+00
2.400000000000000000e+01,9.488298860193090434e+00
2.430000000000000071e+01,9.344525906597199949e+00
2.459999999999999787e+01,8.496514392800902371e+00
2.489999999999999858e+01,8.378496585656399986e+00
2.519999999999999929e+01,8.233634122906812181e+00
2.550000000000000000e+01,7.826300451690129556e+00
2.580000000000000071e+01,7.692141256447768249e+00
2.609999999999999787e+01,7.038060646210591464e+00
2.639999999999999858e+01,6.891146865805482413e+00
2.669999999999999929e+01,6.947273980397881132e+00
2.700000000000000000e+01,6.779416859302695109e+00
2.730000000000000071e+01,6.506016774980952988e+00
2.759999999999999787e+01,6.168746010008476333e+00
2.789999999999999858e+01,6.068387801901577561e+00
2.819999999999999929e+01,5.883527787346416460e+00
2.850000000000000000e+01,5.855541759084741393e+00
2.879999999999999716e+01,5.622136774919822777e+00
2.909999999999999787e+01,5.267906256564860001e+00
2.939999999999999858e+01,5.209652417543859215e+00
2.969999999999999929e+01,5.028585933357251569e+00
3.000000000000000000e+01,4.877464234157814715e+00
3.029999999999999716e+01,4.741072204005436497e+00
3.059999999999999787e+01,4.453605134320727466e+00
3.089999999999999858e+01,4.538971983259680876e+00
3.119999999999999929e+01,4.415146997375187787e+00
3.150000000000000000e+01,4.304827239355045521e+00
3.179999999999999716e+01,4.162188649428804510e+00
3.210000000000000142e+01,4.028501090443726618e+00
3.239999999999999858e+01,3.968245565619248794e+00
3.269999999999999574e+01,3.932857048182254456e+00
3.300000000000000000e+01,3.672123086250756785e+00
3.329999999999999716e+01,3.584078259060903715e+00
3.360000000000000142e+01,3.527229415034057070e+00
3.389999999999999858e+01,3.385548643189594920e+00
3.419999999999999574e+01,3.375360741276689502e+00
3.450000000000000000e+01,3.198351053818992540e+00
3.479999999999999716e+01,3.121296737205391469e+00
3.510000000000000142e+01,3.126673043325231216e+00
3.539999999999999858e+01,2.958678700874962875e+00
3.569999999999999574e+01,2.843694592582379777e+00
3.600000000000000000e+01,2.832962489136999995e+00
3.629999999999999716e+01,2.865832906334419672e+00
3.660000000000000142e+01,2.759784246317554590e+00
3.689999999999999858e+01,2.636484546435603704e+00
3.719999999999999574e+01,2.572907366260483109e+00
3.750000000000000000e+01,2.509816787913927261e+00
3.779999999999999716e+01,2.472424473137607048e+00
3.810000000000000142e+01,2.413144115525223565e+00
3.839999999999999858e+01,2.503614830180173723e+00
3.869999999999999574e+01,2.304715592886243947e+00
3.900000000000000000e+01,2.216725702407254417e+00
3.929999999999999716e+01,2.321141644271254911e+00
3.960000000000000142e+01,2.357957029422384831e+00
3.989999999999999858e+01,2.185181563885718159e+00
4.019999999999999574e+01,2.137868221583310469e+00
4.050000000000000000e+01,2.164067794261141930e+00
4.079999999999999716e+01,2.109551167168964181e+00
4.110000000000000142e+01,2.068137093534059279e+00
4.139999999999999858e+01,1.907672226925676950e+00
4.169999999999999574e+01,1.876519830798220934e+00
