,1 Hz,,2 Hz,,5 Hz,,10 Hz,,20Hz,,50 Hz,,100 Hz,,200 Hz,,250 Hz,,500 Hz,frequesncy,EPSC Gain,
0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,0.0050129203076,2.405022664E-12,,,
0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,0.0050146769806,2.431259714E-12,,,
0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,0.0050165220071,2.521169043E-12,,,
0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,0.0050182228931,2.46076766E-12,,,
0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,0.0050198531901,2.5011937E-12,,,
0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,0.0050216011178,2.532696104E-12,,,
0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,0.005023505883,2.559638796E-12,,,
0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,0.0050253364176,2.579621376E-12,,,
0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,0.0050270112806,2.608318072E-12,,,
0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,0.0050287241157,2.566387523E-12,,,
0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,0.0050306334084,2.684487636E-12,,,
0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,0.0050325353937,2.69910586E-12,,,
0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,0.0050343012457,2.728168541E-12,,,
0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,0.0050360390355,2.763930628E-12,,,
0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,0.0050379363332,2.800120737E-12,,,
0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,0.0050399265771,2.829137831E-12,,,
0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,0.005041780758,2.85514807E-12,,,
0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,0.0050435112635,2.813478711E-12,,,
0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,0.0050453267787,2.936883997E-12,,,
0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,0.0050472919366,2.962526205E-12,,,
0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,0.0050492709843,2.993370449E-12,,,
0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,0.0050511077264,3.024286728E-12,,,
0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,0.0050528892469,2.987763764E-12,,,
0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,0.0050547909554,3.109016207E-12,,,
0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,0.0050567685893,3.134814595E-12,,,
0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,0.0050587053193,3.168903951E-12,,,
