,1V,,2V,,3V,,4V,,5V,,6V,gatevoltage,DC0.4,DC0.6,DC0.8,time,1V,2V,3V,4V,5V,6V,
0.01200001,3.949044941E-9,0.01200001,6.734339289E-8,0.01200001,1.04434788E-7,0.012,1.291011403E-7,0.012,1.416466478E-7,0.011319969463,1.330745616E-7,,,,,,,,,,,,
0.01200003,3.917629301E-9,0.01200003,6.720962971E-8,0.01200003,1.043126437E-7,0.01200001,1.296581735E-7,0.01200001,1.424929649E-7,0.011347176522,1.341001757E-7,,,,,,,,,,,,
0.01200007,3.85923169E-9,0.01200007,6.691971022E-8,0.01200007,1.040771383E-7,0.01200003,1.295425214E-7,0.01200003,1.423810379E-7,0.011365215278,1.347485037E-7,,,,,,,,,,,,
0.01200015,3.744899187E-9,0.01200015,6.633066595E-8,0.01200015,1.036016161E-7,0.01200007,1.293655714E-7,0.01200007,1.422819318E-7,0.011375449544,1.351057865E-7,,,,,,,,,,,,
0.01200031,3.523824721E-9,0.01200031,6.510772793E-8,0.01200031,1.026413265E-7,0.01200015,1.289970124E-7,0.01200015,1.420550558E-7,0.0113900347,1.356023972E-7,,,,,,,,,,,,
0.01200063,3.110004629E-9,0.01200063,6.249113052E-8,0.01200063,1.006882951E-7,0.01200031,1.282425685E-7,0.01200031,1.41596405E-7,0.011419205012,1.365539489E-7,,,,,,,,,,,,
0.01200127,2.553397852E-9,0.01200127,5.888342249E-8,0.01200127,9.789914353E-8,0.01200063,1.266526467E-7,0.01200063,1.40636526E-7,0.011440164269,1.372057694E-7,,,,,,,,,,,,
0.01200255,2.598832598E-9,0.01200255,5.89593896E-8,0.01200255,9.801355656E-8,0.01200127,1.238987646E-7,0.01200127,1.383180725E-7,0.011453155143,1.37597314E-7,,,,,,,,,,,,
0.01200511,2.609241341E-9,0.01200511,5.894123722E-8,0.01200511,9.797092873E-8,0.01200255,1.241136417E-7,0.01200255,1.386382087E-7,0.011470565338,1.381079266E-7,,,,,,,,,,,,
0.01201023,2.616642426E-9,0.01201023,5.8880058E-8,0.01201023,9.789465598E-8,0.01200511,1.240901878E-7,0.01200511,1.386239419E-7,0.011502928988,1.390169143E-7,,,,,,,,,,,,
0.01202047,2.612179391E-9,0.01202047,5.872379004E-8,0.01202047,9.775683464E-8,0.01201023,1.240409297E-7,0.01201023,1.38595199E-7,0.011526132773,1.396388643E-7,,,,,,,,,,,,
0.01204095,2.583761863E-9,0.01204095,5.837914857E-8,0.01204095,9.75009858E-8,0.01202047,1.239388444E-7,0.01202047,1.385360465E-7,0.011540660009,1.400164869E-7,,,,,,,,,,,,
0.01208191,2.51274013E-9,0.01208191,5.766566256E-8,0.01208191,9.701220509E-8,0.01204095,1.237345121E-7,0.01204095,1.384206552E-7,0.011560115796,1.40508832E-7,,,,,,,,,,,,
0.01216383,2.36729974E-9,0.01216383,5.621169585E-8,0.01216383,9.605871374E-8,0.01208191,1.233294943E-7,0.01208191,1.381969012E-7,0.011595584194,1.41369528E-7,,,,,,,,,,,,
0.01232767,2.097012134E-9,0.01232767,5.322092051E-8,0.01232767,9.417891795E-8,0.012156305061,1.225929813E-7,0.01216383,1.37751786E-7,0.011621068067,1.419607159E-7,,,,,,,,,,,,
0.012516878951,1.822189813E-9,0.012529653151,4.940180773E-8,0.01265535,9.047306403E-8,0.012198817823,1.221682306E-7,0.012286396392,1.370697958E-7,0.011637116455,1.423221436E-7,,,,,,,,,,,,
0.012673567168,1.622066407E-9,0.012933619454,4.154274902E-8,0.01331071,8.317580094E-8,0.012221273802,1.21942401E-7,0.012361326071,1.366406806E-7,0.011658551838,1.427925099E-7,,,,,,,,,,,,
0.012908056002,1.363297626E-9,0.013741552058,2.68180496E-8,0.01462143,6.711741827E-8,0.012256488443,1.215861658E-7,0.012405455908,1.363834068E-7,0.011697236684,1.436078404E-7,,,,,,,,,,,,
0.013122995132,1.163339541E-9,0.015,1.164221119E-8,0.015,6.129894946E-8,0.012326917726,1.208660138E-7,0.012469872798,1.360016496E-7,0.01172820394,1.44231703E-7,,,,,,,,,,,,
0.013552873392,8.500140362E-10,0.01500001,1.15240676E-8,0.01500001,6.113561576E-8,0.012422083432,1.198770327E-7,0.012584938256,1.353007483E-7,0.011746849817,1.445958479E-7,,,,,,,,,,,,
0.014412629911,4.640635779E-10,0.01500003,1.166135762E-8,0.01500003,6.137826002E-8,0.012612414846,1.17847803E-7,0.012655912887,1.348557879E-7,0.011768166571,1.450021485E-7,,,,,,,,,,,,
0.015,3.142518118E-10,0.01500007,1.192750531E-8,0.01500007,6.188800359E-8,0.012993077672,1.136143698E-7,0.012695278944,1.346046858E-7,0.011808590494,1.457450668E-7,,,,,,,,,,,,
0.01500001,2.200554577E-10,0.01500015,1.24715737E-8,0.01500015,6.28838385E-8,0.013754403325,1.047226571E-7,0.01274939168,1.342543773E-7,0.011843723506,1.463634602E-7,,,,,,,,,,,,
0.01500003,2.249027865E-10,0.01500031,1.360833884E-8,0.01500031,6.479344811E-8,0.014392536544,9.724313257E-8,0.012853962269,1.335600323E-7,0.01186544132,1.467338941E-7,,,,,,,,,,,,
0.01500007,2.329586726E-10,0.01500063,1.607780228E-8,0.01500063,6.827949449E-8,0.015,9.033483949E-8,0.012917194346,1.331286809E-7,0.011888399946,1.471161945E-7,,,,,,,,,,,,
0.01500015,2.485348561E-10,0.01500127,1.954641295E-8,0.01500127,7.231911266E-8,0.01500001,8.998729771E-8,0.012951096883,1.328937375E-7,0.011929891763,1.477842297E-7,,,,,,,,,,,,
0.01500031,2.817178103E-10,0.01500255,1.953026286E-8,0.01500255,7.227858152E-8,0.01500003,9.01554967E-8,0.012997910142,1.325650313E-7,0.011969086252,1.483899992E-7,,,,,,,,,,,,
0.01500063,3.571537027E-10,0.01500511,1.965504126E-8,0.01500511,7.244344781E-8,0.01500007,9.050090183E-8,0.013091536659,1.318923562E-7,0.011994430111,1.487694804E-7,,,,,,,,,,,,
0.01500127,5.943507947E-10,0.01501023,1.99325181E-8,0.01501023,7.276590175E-8,0.01500015,9.119016785E-8,0.013148062652,1.314761556E-7,0.012,1.488516485E-7,,,,,,,,,,,,
0.01500255,5.536076267E-10,0.01502047,2.053263744E-8,0.01502047,7.339427239E-8,0.01500031,9.255957311E-8,0.013178122059,1.31251678E-7,0.01200001,1.499520627E-7,,,,,,,,,,,,
0.01500511,5.526394112E-10,0.01504095,2.180335666E-8,0.01504095,7.460758962E-8,0.01500063,9.525882485E-8,0.013219930326,1.309357822E-7,0.01200003,1.49818049E-7,,,,,,,,,,,,
0.01501023,5.554034733E-10,0.01508191,2.449667619E-8,0.01508191,7.690041007E-8,0.01500127,9.899034696E-8,0.01330354686,1.302909816E-7,0.01200007,1.497516048E-7,,,,,,,,,,,,
0.01502047,5.679899489E-10,0.015116444955,2.688802472E-8,0.015154016421,8.062167165E-8,0.01500255,9.889753508E-8,0.013355651118,1.298803026E-7,0.01200015,1.495749301E-7,,,,,,,,,,,,
0.01504095,6.016285977E-10,0.015137990187,2.842589108E-8,0.015298229263,8.735148229E-8,0.01500511,9.907205441E-8,0.013383900582,1.296547659E-7,0.01200031,1.492221827E-7,,,,,,,,,,,,
0.01508191,6.810301085E-10,0.015163077757,3.025372601E-8,0.015586654946,9.948277488E-8,0.01501023,9.939973602E-8,0.013422599252,1.293425037E-7,0.01200063,1.484913722E-7,,,,,,,,,,,,
0.01516383,8.721320401E-10,0.015212205819,3.391977274E-8,0.015971518848,1.136107262E-7,0.01502047,1.000202612E-7,0.013499996594,1.287064802E-7,0.01200127,1.46152577E-7,,,,,,,,,,,,
0.015323686404,1.375375531E-9,0.015293200404,4.007120379E-8,0.016416547665,1.260024913E-7,0.01504095,1.012126332E-7,0.013548856834,1.282970461E-7,0.01200255,1.465636335E-7,,,,,,,,,,,,
0.015643399212,3.030557199E-9,0.015455189574,5.181935865E-8,0.017,1.362095122E-7,0.01508191,1.035199106E-7,0.013575595124,1.280703912E-7,0.01200511,1.465505384E-7,,,,,,,,,,,,
0.016282824827,9.925018816E-9,0.015779167913,6.926240752E-8,0.01700001,1.366787278E-7,0.01516383,1.079359694E-7,0.013612292122,1.277563325E-7,0.01201023,1.465280465E-7,,,,,,,,,,,,
0.016837017374,2.109391514E-8,0.016427124592,8.915612595E-8,0.01700003,1.366066905E-7,0.01532767,1.159490323E-7,0.013685686117,1.271178853E-7,0.01202047,1.46485539E-7,,,,,,,,,,,,
0.017,2.528836813E-8,0.017,1.026880887E-7,0.01700007,1.365195035E-7,0.015496218554,1.229254243E-7,0.013732617514,1.267024542E-7,0.01204095,1.464067662E-7,,,,,,,,,,,,
0.01700001,2.533143351E-8,0.01700001,1.028819254E-7,0.01700015,1.363320396E-7,0.015616323046,1.270914361E-7,0.013758539066,1.264706159E-7,0.01208191,1.462578337E-7,,,,,,,,,,,,
0.01700003,2.522467861E-8,0.01700003,1.027999987E-7,0.01700031,1.359529888E-7,0.015730817105,1.304720232E-7,0.013794133809,1.261495166E-7,0.01216383,1.459651836E-7,,,,,,,,,,,,
0.01700007,2.501685984E-8,0.01700007,1.026408008E-7,0.01700063,1.351665929E-7,0.015959805225,1.35823909E-7,0.013865323296,1.254978808E-7,0.01232767,1.453703476E-7,,,,,,,,,,,,
0.01700015,2.460052703E-8,0.01700015,1.023199363E-7,0.01700127,1.335623315E-7,0.016340290592,1.420816595E-7,0.013911281328,1.250706035E-7,0.012558777731,1.444998484E-7,,,,,,,,,,,,
0.01700031,2.377250124E-8,0.01700031,1.016737114E-7,0.01700255,1.337410495E-7,0.016838565158,1.477071215E-7,0.01393684498,1.248307248E-7,0.013020993193,1.42634683E-7,,,,,,,,,,,,
0.01700063,2.215069191E-8,0.01700063,1.003659123E-7,0.01700511,1.337247161E-7,0.017,1.491626506E-7,0.013971991442,1.244983748E-7,0.013945424118,1.382624863E-7,,,,,,,,,,,,
